  name  ra         dec
  1     226.982061938755     41.4736940871164
  2     14.1772114325328     31.0189484695282
  3     162.363797710178     33.9193308858052
  4     177.922306276462     35.7205416903614
  5     356.098651448126     11.9089527458076
  6     202.607275068138     64.9068358694694
  7     230.799030886846     38.4785063059526
  8     47.1858178260279     0.757409873837308
  9     244.869866701718     51.667469949131
  a     113.290334538861     41.7768746124003
  b     114.610978448809     42.1607843038727
  c     199.43450331514      4.11183933315014
  d     10.8871409599105     -4.18977100395955
  e     316.156397002119     0.555971242954177
  f     201.075601777187     32.0344072515704
  10    195.76178449537      37.4691982962688
  11    210.89697650011      35.0928949896218
  12    237.173991012473     28.8457402469281
  13    239.376869636631     46.3069290303065
  14    133.40015005221      64.435888257309
  15    32.8827162029114     5.96779477424073
  16    35.0963222279815     5.8420526823313
  17    230.09484033158      45.467798361226
  18    125.496958015308     43.5710213500676
  19    225.190008025005     17.2944487564753
  1a    119.845631099917     9.61823775394285
  1b    200.54298155026      63.5522448625951
  1c    46.5803187977696     -8.42145699254147
  1d    200.434567073535     3.38813204840518
  1e    197.656741720418     40.0756298216241
  1f    147.737221777331     22.5049557311579
  20    126.627707437139     30.8811438678696
  21    124.999630697596     29.6039464123231
  22    190.186386785214     67.6973666541739
  23    159.4455246122       21.8043405308085
  24    321.340291059002     0.179016113890916
  25    323.055075452235     0.156806252550661
  26    324.029138223905     0.137478490819469
  27    323.873069764228     0.0040691194851021
  28    323.143656124684     0.147939337187615
  29    146.205985337937     15.447134901982
  2a    347.380659546758     18.0806002511599
  2b    221.815864902592     43.6135988779689
  2c    27.1527985887898     33.4507696398156
  2d    224.03872305928      14.3376765760612
  2e    233.379422271282     1.18116428297399
  2f    239.716087058982     0.993876166700475
  30    331.160921555276     9.64869970096539
  31    149.196737438686     18.2290813653649
  32    220.286054251216     -2.31181855005256
  33    116.154052362434     20.153851502723
  34    122.431291725768     25.0724982986943
  35    152.946206444039     39.8840246394337
  36    168.062794723077     43.5074027779763
  37    151.684764511461     39.5469918363967
  38    248.133987113286     9.35218045568089
  39    121.162507440191     33.0789913461698
  3a    213.236860973858     23.678632919811
  3b    241.359657447999     14.9855768404346
  3c    209.014256016982     24.509805023511
  3d    215.103490858032     38.147178458986
  3e    242.069595269209     38.8937301151423
  3f    50.1336977817812     -7.9985968311778
  40    232.410440075488     44.1395225381926
  41    232.440730473024     44.1588994677042
  42    194.767535540012     46.2749811437482
  43    195.389785691062     46.3157372306352
  44    166.096618456339     22.9527906116904
  45    159.542942540733     21.8392084633986
  46    228.504083109877     16.2938309823167
  47    123.42235504161      10.871008120132
  48    200.08725086246      63.7163803407226
  49    190.471162842041     41.963242272852
  4a    168.583787123156     47.4731347683346
  4b    201.074980072746     28.7699058867715
  4c    231.559658129728     21.2072474596437
  4d    154.81931504831      17.0895210991924
  4e    126.03748799781      30.4266999912521
  4f    317.927530342512     0.134237583118442
  50    319.48600425884      0.0077157375380798
  51    115.390961922397     19.5602262914431
  52    228.490900450969     40.7958556396934
  53    223.791039809612     52.2248684287656
  54    227.7568185594       50.7442328266053
  55    155.232041537385     -2.89846968391297
  56    143.527547670588     -2.70589496330525
  57    215.93221597297      -0.787349287323404
  58    355.089821171797     8.28390923822111
  59    147.846435369918     20.2029797828034
  5a    313.493437328713     -7.0180601031483
  5b    139.533964918377     4.423889594324
  5c    49.5545783717589     41.8025113837332
  5d    218.949565817606     46.8704277850851
  5e    211.559763505308     49.0266184418234
  5f    32.287974845502      2.33170141089575
  60    40.5542012703964     2.19991066212544
  61    180.69539582281      40.5787885968527
  62    211.651813482186     57.9539635263364
  63    2.97905953648419     -4.27908949154466
  64    20.0056066907794     1.21004279615049
  65    123.80862723331      31.6184201590861
  66    138.406316250332     41.3950219104214
  67    218.883241349505     -2.29207855911018
  68    27.9590816546191     33.3763775641094
  69    197.830188494827     29.4271089454577
  6a    199.403554648375     29.3679879943526
  6b    48.194988515828      -8.35929870852417
  6c    48.8938361921768     -8.21732883112689
  6d    49.4759072457623     -8.06823964991813
  6e    194.197230872228     46.4226490236805
  6f    195.916568632258     46.2641127678932
  70    170.063172872153     23.3129090802395
  71    118.889876449137     18.4927723733076
  72    232.221452306994     44.3011800900948
  73    132.756172504417     32.2567615364479
  74    124.202362534298     38.9769799750689
  75    319.651511322674     0.174453765114212
  76    324.297149403056     0.108727774002974
  77    359.111325864436     28.6401608663437
  78    112.347165139947     41.573466419573
  79    113.28963015955      41.7261190334823
  7a    114.823686101073     42.1297718155776
  7b    354.044094527823     20.3572633830746
  7c    208.246753742307     24.5021157891472
  7d    245.361678747447     13.5054504791325
  7e    218.226427084371     56.1331814181034
  7f    190.082717844231     42.03348130202
  80    192.7365132482       41.9577653747458
  81    194.874097633825     41.843356851403
  82    206.675103149039     45.4301723050402
  83    229.920566297205     37.742815745763
  84    199.177741689919     49.1107891265071
  85    221.134634406617     53.3199784047599
  86    353.981696680141     0.710138417759557
  87    350.878807502013     0.637472084971558
  88    33.100748778157      5.80826746317468
  89    332.937721769713     2.82496266424735
  8a    349.995892788842     20.5497184076846
  8b    25.9848701365592     -10.3317828577042
  8c    229.441404184451     9.77843732790846
  8d    124.131980428205     38.5471691829035
  8e    220.401053416363     14.8466590191052
  8f    201.394113667344     4.01873460020864
  90    205.744120273567     3.90348751088342
  91    10.6999446806199     2.59860909401005
  92    205.624653860088     36.2601684405993
  93    208.954981706431     35.6142256046494
  94    240.181375213598     15.51975582341
  95    206.388753332548     24.8598251367719
  96    239.601948335898     27.5601654081694
  97    247.70294483311      22.3114175082721
  98    250.127438255451     37.1906758904845
